pmid,year,journal,title,doi,article_group,categories,publication_types,pubmed_url
42001252,2026,Journal of periodontology,Association between periodontitis and oral health-related quality of life in patients with systemic conditions: A meta-analysis.,10.1002/jper.70130,Review,分類與治療指引; 全身疾病與危險因子,Journal Article; Review,https://pubmed.ncbi.nlm.nih.gov/42001252/
41981946,2026,Journal of periodontology,"Betaine-, xylitol-, and extra virgin olive oil-based toothpaste modulates inflammation and oral nitric oxide pathway: Clinical trial in gingivitis.",10.1002/jper.70135,Original Article,微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41981946/
41981895,2026,Journal of periodontology,Periodontitis during pregnancy: The effect on the gut microbiome and intestinal inflammation.,10.1002/jper.70132,Original Article,全身疾病與危險因子; 微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41981895/
41973052,2026,Journal of periodontology,Association between self-reported oral symptoms and irritable bowel syndrome: A prospective cohort study based on UK Biobank.,10.1002/jper.70125,Original Article,其他牙周臨床/基礎研究,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41973052/
41973035,2026,Journal of periodontology,Unsupervised phenotyping of the periodontal architecture through high-dimensional clustering of electronic health records: A multicenter study.,10.1002/jper.70123,Original Article,分類與治療指引; 再生與黏膜牙齦手術; SPT/SPC 與風險評估; 全身疾病與危險因子; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41973035/
41973033,2026,Journal of periodontology,Aging and periodontitis increase brain dissemination of oral bacteria.,10.1002/jper.70118,Original Article,全身疾病與危險因子; 微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41973033/
41972989,2026,Journal of periodontology,Advancing the diagnosis of peri-implant diseases: From histological foundations to next-generation ultrasonographic diagnostic markers.,10.1002/jper.70113,Review,分類與治療指引; 植體周圍疾病; 再生與黏膜牙齦手術; 診斷影像與數位工具,Journal Article; Review,https://pubmed.ncbi.nlm.nih.gov/41972989/
41972958,2026,Journal of periodontology,AI-based evaluation of implant abutment screw torque decay: A periapical radiograph pilot study.,10.1002/jper.70127,Original Article,SPT/SPC 與風險評估; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41972958/
41972922,2026,Journal of periodontology,Grade C molar-incisor pattern periodontitis classification and its challenges.,10.1002/jper.70119,Review,分類與治療指引; SPT/SPC 與風險評估; 全身疾病與危險因子; 診斷影像與數位工具,Journal Article; Review,https://pubmed.ncbi.nlm.nih.gov/41972922/
41972826,2026,Journal of periodontology,Correlating bacterial load and periodontal disease severity: A large-scale study of the microbial landscape.,10.1002/jper.70122,Original Article,分類與治療指引; 全身疾病與危險因子; 微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41972826/
41910466,2026,Journal of periodontology,Biomaterials for resolution of peri-implantitis: Consensus report of Workgroup 2 of the IADR Implantology Research Group Best Evidence Consensus Symposium on Peri-Implant Disease and Its Treatment.,10.1002/JPER.24-0432,Original Article,分類與治療指引; 植體周圍疾病; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41910466/
41902624,2026,Journal of periodontology,Structural alterations in osteocyte dendrites and lacunar-canalicular networks of the mandible of ovariectomized mice.,10.1002/jper.70134,Original Article,全身疾病與危險因子; 微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41902624/
41885763,2026,Journal of periodontology,Dasatinib and quercetin prevent alveolar bone loss in aged mice.,10.1002/jper.70115,Original Article,全身疾病與危險因子; 微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41885763/
41870349,2026,Journal of periodontology,Mucogingival surgery techniques: Coronally advanced flap versus tunnel approach.,10.1002/jper.70116,Review,再生與黏膜牙齦手術; 非手術治療與抗菌輔助,Journal Article; Review,https://pubmed.ncbi.nlm.nih.gov/41870349/
41870328,2026,Journal of periodontology,Biomaterial used to counteract ridge reduction following the removal of adjacent teeth: A randomized controlled multicenter study.,10.1002/jper.70084,Original Article,再生與黏膜牙齦手術,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41870328/
41867064,2026,Journal of periodontology,Mapping the subgingival HerBiome and HisBiome over the human healthspan.,10.1002/jper.70098,Original Article,非手術治療與抗菌輔助; SPT/SPC 與風險評估; 全身疾病與危險因子; 微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41867064/
41804975,2026,Journal of periodontology,Osseodensification versus conventional site preparation in cylindrical implants: A randomized controlled trial.,10.1002/jper.70097,Original Article,其他牙周臨床/基礎研究,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41804975/
41802000,2026,Journal of periodontology,Associations of nonsteroidal anti-inflammatory drug use with periodontal disease in postmenopausal women: The OsteoPerio study.,10.1002/jper.70043,Original Article,SPT/SPC 與風險評估,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41802000/
41801972,2026,Journal of periodontology,Usability of a deep learning platform for detecting radiographic bone loss and furcation involvement.,10.1002/jper.70106,Original Article,分類與治療指引; 再生與黏膜牙齦手術; SPT/SPC 與風險評估; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41801972/
41789954,2026,Journal of periodontology,Impact of severe periodontitis and diabetes mellitus on recurrent cardiovascular outcomes.,10.1002/jper.70086,Original Article,分類與治療指引; SPT/SPC 與風險評估; 全身疾病與危險因子,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41789954/
41789944,2026,Journal of periodontology,Impact of over-contoured restorations on the marginal bone around tissue-level implants: A retrospective radiographic analysis.,10.1002/jper.70111,Original Article,植體周圍疾病; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41789944/
41789937,2026,Journal of periodontology,Type I interferon-induced CD169+ macrophages play a protective role in periodontitis.,10.1002/jper.70102,Original Article,其他牙周臨床/基礎研究,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41789937/
41789932,2026,Journal of periodontology,"Functional tooth unit, periodontal status, and association with weight change in older adults.",10.1002/jper.70100,Original Article,SPT/SPC 與風險評估,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41789932/
41789930,2026,Journal of periodontology,Predictability of a dental implant prognosis system: A retrospective study.,10.1002/jper.70110,Original Article,分類與治療指引; SPT/SPC 與風險評估; 全身疾病與危險因子,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41789930/
41789792,2026,Journal of periodontology,A randomized controlled trial of home-applied dual-light photodynamic therapy during supportive periodontal care (HOPE-CP study).,10.1002/jper.70082,Original Article,分類與治療指引; 非手術治療與抗菌輔助; SPT/SPC 與風險評估,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41789792/
41373104,2026,Journal of periodontology,Biofilm removal capacity and titanium surface integrity in non-abrasive versus abrasive peri-implantitis cleaning interventions.,10.1002/jper.11371,Original Article,植體周圍疾病,Journal Article; Comparative Study,https://pubmed.ncbi.nlm.nih.gov/41373104/
41251445,2026,Journal of periodontology,Long-term clinical benefits of periodontal interventions in strict supportive periodontal care: A systematic review.,10.1002/jper.70027,Review,再生與黏膜牙齦手術; 非手術治療與抗菌輔助; SPT/SPC 與風險評估; 診斷影像與數位工具,Journal Article; Systematic Review; Review,https://pubmed.ncbi.nlm.nih.gov/41251445/
41251439,2026,Journal of periodontology,Association between periodontitis severity and exhaled hydrogen sulfide measured using LTCC-GASSET device in healthy Thai patients.,10.1002/jper.70025,Original Article,分類與治療指引; 全身疾病與危險因子; 微生物與宿主生物標記; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41251439/
41201881,2026,Journal of periodontology,Effectiveness of two supportive periodontal care protocols and outcome predictors during periodontitis: A randomized controlled trial.,10.1002/jper.70007,Original Article,非手術治療與抗菌輔助; SPT/SPC 與風險評估; 全身疾病與危險因子,Journal Article; Randomized Controlled Trial; Comparative Study,https://pubmed.ncbi.nlm.nih.gov/41201881/
41159915,2026,Journal of periodontology,"Allogeneic bone paste versus bone powder for oral guided bone regeneration: A randomized, noninferiority trial.",10.1002/jper.11385,Original Article,植體周圍疾病; 再生與黏膜牙齦手術; 診斷影像與數位工具,Journal Article; Randomized Controlled Trial; Comparative Study; Equivalence Trial,https://pubmed.ncbi.nlm.nih.gov/41159915/
41071188,2026,Journal of periodontology,Salivary microbiota and clinical periodontal measures predicting cardiometabolic disease mortality: A nationwide survey.,10.1002/jper.11395,Original Article,全身疾病與危險因子; 微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41071188/
40955590,2026,Journal of periodontology,Evaluating diagnostic accuracy and consistency in applying the 2017 periodontal classification among dental professionals.,10.1002/jper.70011,Original Article,分類與治療指引; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/40955590/
40932463,2026,Journal of periodontology,Titanium migration and bone response in loaded osseointegrated implants: ESEM-EDX analysis in Macaca fascicularis.,10.1002/jper.70003,Original Article,植體周圍疾病,Journal Article,https://pubmed.ncbi.nlm.nih.gov/40932463/
40932451,2026,Journal of periodontology,Melatonin inhibits orthodontically induced root resorption through YAP/P65/IL-6 signaling pathway.,10.1002/JPER.24-0600,Original Article,微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/40932451/
40898769,2026,Journal of periodontology,Maxacalcitol alleviates diabetes-associated periodontitis in male mice by restoring Treg/Th17 balance via SOCE-mediated mitochondrial dysfunction.,10.1002/jper.70002,Original Article,全身疾病與危險因子,Journal Article,https://pubmed.ncbi.nlm.nih.gov/40898769/
40838345,2026,Journal of periodontology,"Association of disrupted circadian rhythms with self-reported periodontal diseases: Insights from 94,305 UK Biobank participants.",10.1002/jper.11388,Original Article,其他牙周臨床/基礎研究,Journal Article,https://pubmed.ncbi.nlm.nih.gov/40838345/
40838332,2026,Journal of periodontology,Association between periodontal parameters and thyroid markers in autoimmune hypothyroidism: A cross-sectional study.,10.1002/JPER.24-0735,Original Article,全身疾病與危險因子; 微生物與宿主生物標記,Journal Article; Comparative Study,https://pubmed.ncbi.nlm.nih.gov/40838332/
40820445,2026,Journal of periodontology,Palatal pre-suturing effects on hemostasis and morbidity in connective tissue grafting: A randomized controlled trial.,10.1002/jper.11392,Original Article,再生與黏膜牙齦手術; 非手術治療與抗菌輔助; 全身疾病與危險因子,Journal Article; Randomized Controlled Trial,https://pubmed.ncbi.nlm.nih.gov/40820445/
40751485,2026,Journal of periodontology,Alveolar bone configuration in mandibular first molars with disto-lingual roots: A cross-sectional radiographic study.,10.1002/jper.11383,Original Article,再生與黏膜牙齦手術; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/40751485/
40627763,2026,Journal of periodontology,Periodontal regenerative treatment for maxillary anterior cemental tears: A mid-term cohort study.,10.1002/jper.11377,Original Article,再生與黏膜牙齦手術; SPT/SPC 與風險評估; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/40627763/
40627751,2026,Journal of periodontology,Clear aligners and open gingival embrasures: Retrospective study of epidemiology and risk factors.,10.1002/jper.11373,Original Article,全身疾病與危險因子; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/40627751/
40577439,2026,Journal of periodontology,Efficacy of horizontal platelet-rich fibrin on gingival tissue regeneration: Cellular and histological analysis.,10.1002/jper.11364,Original Article,再生與黏膜牙齦手術; 非手術治療與抗菌輔助,Journal Article,https://pubmed.ncbi.nlm.nih.gov/40577439/
40452544,2026,Journal of periodontology,Comparing circular cortical-lamina anchoring versus split-crest technique in posterior mandible: A retrospective cohort study.,10.1002/JPER.24-0733,Original Article,再生與黏膜牙齦手術; SPT/SPC 與風險評估,Journal Article; Comparative Study,https://pubmed.ncbi.nlm.nih.gov/40452544/
41761943,2026,Journal of periodontology,Ultrasonographic features of gingival tissue in health and gingivitis.,10.1002/jper.70114,Original Article,其他牙周臨床/基礎研究,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41761943/
41761925,2026,Journal of periodontology,Prediction and risk factor analysis of dental implant failure using Cox regression and machine learning.,10.1002/jper.70112,Original Article,SPT/SPC 與風險評估; 全身疾病與危險因子,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41761925/
41761879,2026,Journal of periodontology,Bone regeneration using aged donor cells and visible light-curable hydrogel: An in vitro and in vivo evaluation.,10.1002/jper.70090,Original Article,再生與黏膜牙齦手術,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41761879/
41761827,2026,Journal of periodontology,Association between serum α-Klotho levels and severity of periodontitis in a representative U.S. population.,10.1002/jper.70080,Original Article,分類與治療指引; SPT/SPC 與風險評估; 全身疾病與危險因子; 微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41761827/
41761788,2026,Journal of periodontology,Development of simple predictive models of tooth loss in the community setting.,10.1002/jper.70074,Original Article,分類與治療指引; SPT/SPC 與風險評估; 全身疾病與危險因子,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41761788/
41744043,2026,Journal of periodontology,Twenty-four month clinical outcomes of modified coronally advanced tunnel technique with leukocyte- and platelet-rich fibrin-functionalized porcine dermal matrix for single/multiple gingival recessions.,10.1002/jper.70093,Original Article,再生與黏膜牙齦手術; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41744043/
41742876,2026,Journal of periodontology,Prevalence and local factors associated with radiographic bone loss in primary dentition: A retrospective study.,10.1002/jper.70075,Original Article,分類與治療指引; 全身疾病與危險因子; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41742876/
41742870,2026,Journal of periodontology,The effect of bioactive membrane in alveolar ridge preservation: A double-blind randomized clinical trial.,10.1002/jper.70094,Original Article,再生與黏膜牙齦手術; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41742870/
41711356,2026,Journal of periodontology,Immunological and periodontal benefits of prebiotic polydextrose in rats with induced periodontitis.,10.1002/jper.70095,Original Article,非手術治療與抗菌輔助; 全身疾病與危險因子; 微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41711356/
41711341,2026,Journal of periodontology,"GLP-1 receptor agonists: Bridging diabetes, obesity, and periodontitis-A scoping review of emerging evidence.",10.1002/jper.70092,Review,分類與治療指引; 非手術治療與抗菌輔助; 全身疾病與危險因子; 微生物與宿主生物標記,Journal Article; Review,https://pubmed.ncbi.nlm.nih.gov/41711341/
41711309,2026,Journal of periodontology,Effects of cisplatin and tamoxifen chemotherapy on peri-implant bone remodeling around titanium implants in ovariectomized rats: An in vivo study.,10.1002/jper.70096,Original Article,植體周圍疾病,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41711309/
41711308,2026,Journal of periodontology,Porphyromonas gingivalis and Scardovia wiggsiae promote neutrophil-induced lung epithelial cell apoptosis and emphysema.,10.1002/jper.70091,Original Article,全身疾病與危險因子; 微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41711308/
41711306,2026,Journal of periodontology,Age-related local versus systemic early phase wound healing dynamics following free gingival graft harvest.,10.1002/jper.70089,Original Article,再生與黏膜牙齦手術; 全身疾病與危險因子; 微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41711306/
41711301,2026,Journal of periodontology,Surveying immune and inflammatory alterations in periodontitis among individuals with Down syndrome: A preliminary cross-sectional study.,10.1002/jper.70087,Original Article,SPT/SPC 與風險評估; 全身疾病與危險因子; 微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41711301/
41711277,2026,Journal of periodontology,Estradiol replacement attenuates alendronate-associated adverse effects on alveolar bone repair in ovariectomized rats.,10.1002/jper.70088,Original Article,再生與黏膜牙齦手術; SPT/SPC 與風險評估; 全身疾病與危險因子; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41711277/
41711253,2026,Journal of periodontology,Reasoning behind discrepancies in periodontal diagnosis and classification: A mixed-methods analysis.,10.1002/jper.70083,Original Article,分類與治療指引; SPT/SPC 與風險評估; 全身疾病與危險因子; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41711253/
41711240,2026,Journal of periodontology,Development of an artificial intelligence platform to improve compliance in periodontal maintenance patients: A proof-of-concept study.,10.1002/JPER.25-0037,Original Article,分類與治療指引; SPT/SPC 與風險評估; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41711240/
41711187,2026,Journal of periodontology,The future of periodontology: Emerging technologies and conceptual shifts.,10.1002/jper.70079,Original Article,SPT/SPC 與風險評估; 全身疾病與危險因子; 微生物與宿主生物標記; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41711187/
41653418,2026,Journal of periodontology,2022 Japanese Society of Periodontology and Japanese Academy of Clinical Periodontology Posters.,10.1002/JPER.25-0166,Original Article,其他牙周臨床/基礎研究,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41653418/
41653409,2026,Journal of periodontology,Validation of model predicting furcation involvement in newly crowned teeth-A 5-year retrospective follow-up.,10.1002/jper.70072,Original Article,分類與治療指引; 再生與黏膜牙齦手術; SPT/SPC 與風險評估,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41653409/
41653406,2026,Journal of periodontology,Age and sex affect the prevalence and severity of periodontal conditions in an academic setting.,10.1002/jper.70053,Original Article,全身疾病與危險因子,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41653406/
41653404,2026,Journal of periodontology,Does timing of systemic antibiotics influence periodontal treatment outcomes? A randomized clinical trial.,10.1002/jper.70057,Original Article,分類與治療指引; 非手術治療與抗菌輔助; SPT/SPC 與風險評估; 全身疾病與危險因子; 微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41653404/
41627060,2026,Journal of periodontology,Oral mucosal wound healing: A photograph-based prospective study.,10.1002/jper.70063,Original Article,其他牙周臨床/基礎研究,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41627060/
41627028,2026,Journal of periodontology,Digital and tomographic identification of risk indicators for gingival recession in the mandibular anterior region: A cross-sectional study.,10.1002/jper.70073,Original Article,再生與黏膜牙齦手術; SPT/SPC 與風險評估; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41627028/
41627021,2026,Journal of periodontology,Electrolyzed saline as an alternative to chlorhexidine: Antimicrobial and biofilm volume outcomes in a 4-day non-brushing randomized controlled clinical trial.,10.1002/jper.70070,Original Article,非手術治療與抗菌輔助; 微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41627021/
41450231,2026,Journal of periodontology,Epigenetic inflammatory memory and periodontal disease: Mechanisms and clinical significance for comorbidities.,10.1002/jper.70040,Review,全身疾病與危險因子,Journal Article; Review,https://pubmed.ncbi.nlm.nih.gov/41450231/
41403351,2026,Journal of periodontology,Genome-wide association study of periodontitis severity and progression.,10.1002/jper.70017,Original Article,其他牙周臨床/基礎研究,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41403351/
41373089,2026,Journal of periodontology,Neutrophil extracellular traps and phosphatidylserine exposure: The hidden thrombotic threat of periodontitis with diabetes.,10.1002/jper.70038,Original Article,全身疾病與危險因子,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41373089/
41373087,2026,Journal of periodontology,Tooth loss trajectories and their association with frailty risk: A 10-year population-based cohort study.,10.1002/jper.70033,Original Article,SPT/SPC 與風險評估,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41373087/
41331699,2026,Journal of periodontology,Evaluation of Discoidin domain receptor 1 (DDR1) in junctional epithelial permeability and wound healing.,10.1002/jper.70031,Original Article,微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41331699/
41004223,2026,Journal of periodontology,From primary to secondary care level: Assessing patient retention of periodontal staging and grading information.,10.1002/jper.70008,Original Article,分類與治療指引; SPT/SPC 與風險評估; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41004223/
40955531,2026,Journal of periodontology,The effect of non-surgical periodontal treatment on Dickkopf-1 and secreted Frizzled-Related Protein 5 levels.,10.1002/jper.70005,Original Article,非手術治療與抗菌輔助; SPT/SPC 與風險評估; 微生物與宿主生物標記; 診斷影像與數位工具,Journal Article; Comparative Study,https://pubmed.ncbi.nlm.nih.gov/40955531/
40820644,2026,Journal of periodontology,Periodontitis in patients with severe erectile dysfunction undergoing penile prosthesis implantation: Clinical and immunohistochemical study.,10.1002/jper.11391,Original Article,全身疾病與危險因子,Journal Article; Observational Study,https://pubmed.ncbi.nlm.nih.gov/40820644/
40785129,2026,Journal of periodontology,Volumetric buccal bone alterations at immediate implant sites with or without soft tissue augmentation: A 6-month assessment.,10.1002/jper.11381,Original Article,再生與黏膜牙齦手術; 診斷影像與數位工具,Journal Article; Randomized Controlled Trial,https://pubmed.ncbi.nlm.nih.gov/40785129/
40778524,2026,Journal of periodontology,Dose-dependent association of systemic comorbidities with periodontitis severity: A large population cross-sectional study.,10.1002/JPER.25-0055,Original Article,分類與治療指引; 全身疾病與危險因子,Journal Article; Multicenter Study,https://pubmed.ncbi.nlm.nih.gov/40778524/
40751468,2026,Journal of periodontology,Factors influencing tooth loss over 9-11 years in young individuals with periodontitis.,10.1002/JPER.24-0687,Original Article,分類與治療指引; SPT/SPC 與風險評估; 全身疾病與危險因子; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/40751468/
40674412,2026,Journal of periodontology,Radiographic changes in the maxillary sinus following closed sinus augmentation.,10.1002/jper.11376,Original Article,再生與黏膜牙齦手術; 診斷影像與數位工具,Journal Article; Comparative Study,https://pubmed.ncbi.nlm.nih.gov/40674412/
40627760,2026,Journal of periodontology,Clinical and histological outcomes of allogenic amnion-chorion membrane for palatal donor site healing.,10.1002/jper.11370,Original Article,再生與黏膜牙齦手術,Journal Article; Randomized Controlled Trial; Comparative Study,https://pubmed.ncbi.nlm.nih.gov/40627760/
40627755,2026,Journal of periodontology,Vitamins K2 and D3 enhance guided bone regeneration in rat calvarial bone defects.,10.1002/jper.11372,Original Article,再生與黏膜牙齦手術; 非手術治療與抗菌輔助,Journal Article,https://pubmed.ncbi.nlm.nih.gov/40627755/
39039730,2026,Journal of periodontology,"Correction to ""Salivary cytokine expression after nonsurgical periodontal therapy in smokers: 12-month follow-up"".",10.1002/jper.11256,Other,非手術治療與抗菌輔助; 微生物與宿主生物標記,Published Erratum,https://pubmed.ncbi.nlm.nih.gov/39039730/
41615282,2026,Journal of periodontology,Are the detection and dimensions of peri-implant buccal bone defects influenced by different implant materials and their location? An experimental cone-beam computed tomography study.,10.1002/jper.70076,Original Article,植體周圍疾病; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41615282/
41582870,2026,Journal of periodontology,Insulin resistance indices and periodontitis in patients with diabetes: A nationwide population-based study.,10.1002/jper.70059,Original Article,分類與治療指引; SPT/SPC 與風險評估; 全身疾病與危險因子,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41582870/
41582848,2026,Journal of periodontology,Tracing the evolution of root coverage: Clinical milestones leading to a minimally invasive era.,10.1002/jper.70044,Review,分類與治療指引; 再生與黏膜牙齦手術,Journal Article; Review,https://pubmed.ncbi.nlm.nih.gov/41582848/
41582845,2026,Journal of periodontology,The influence of implant platform apico-coronal position on the bone level of adjacent teeth.,10.1002/jper.70056,Original Article,其他牙周臨床/基礎研究,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41582845/
41582843,2026,Journal of periodontology,Effects of testosterone and high-dose anabolic steroids on orthodontic-induced bone remodeling and root resorption: An animal study.,10.1002/jper.70068,Original Article,其他牙周臨床/基礎研究,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41582843/
41582838,2026,Journal of periodontology,Mineral-targeted alkaline phosphatase improves bone graft-mediated alveolar bone defect healing in mice.,10.1002/jper.70061,Original Article,再生與黏膜牙齦手術,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41582838/
41582837,2026,Journal of periodontology,Diagnostic accuracy of transmucosal probe visualization for peri-implant mucosal phenotype assessment: A cross-sectional study.,10.1002/jper.70062,Original Article,分類與治療指引; 植體周圍疾病,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41582837/
41553873,2026,Journal of periodontology,"Salivary galectin-7, galectin-10, and MMP-9 levels in periodontally healthy, gingivitis, and periodontitis patients.",10.1002/jper.70015,Original Article,分類與治療指引; SPT/SPC 與風險評估; 全身疾病與危險因子; 微生物與宿主生物標記; 診斷影像與數位工具,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41553873/
41553868,2026,Journal of periodontology,Diagnostic modulation of subgingival proteomic biomarkers by age and smoking habits in periodontitis.,10.1002/jper.70054,Original Article,分類與治療指引; 非手術治療與抗菌輔助; 全身疾病與危險因子; 微生物與宿主生物標記,Journal Article,https://pubmed.ncbi.nlm.nih.gov/41553868/
